index,AvalancheProblems_0_AvalProbabilityId,AvalancheProblems_0_Class_AvalDistributionId,AvalancheProblems_0_AvalTriggerSimpleId,AvalancheProblems_0_AvalancheProblemId,AvalancheProblems_0_Class_AvalancheProblemTypeId,AvalancheProblems_0_AvalancheTypeId,AvalancheProblems_0_DestructiveSizeExtId,AvalancheProblems_1_Class_AvalDistributionId,AvalancheProblems_1_Class_AvalancheProblemTypeId,ValidFrom,Wind_Speed_Num,Wind_Direction_Num,Temperature_masl
162,3,2,22,1,2,20,2,1,4,2018-05-12T00:00:00,4,5,1800
91,3,1,21,1,7,10,2,3,7,2018-03-02T00:00:00,5,4,1800
325,3,2,22,1,2,20,2,1,4,2018-04-23T00:00:00,4,4,1400
103,3,1,21,1,7,10,2,2,7,2018-03-14T00:00:00,4,1,1800
68,3,2,10,1,7,10,3,2,6,2018-02-07T00:00:00,5,7,1800
475,3,1,21,1,6,10,2,1,7,2018-03-22T00:00:00,4,8,1400
349,3,1,21,1,2,20,1,0,0,2018-05-17T00:00:00,4,2,1400
139,3,2,10,1,7,10,3,2,2,2018-04-19T00:00:00,5,6,1800
359,3,1,21,1,2,20,1,0,0,2018-05-27T00:00:00,4,4,1400
126,3,3,21,2,7,10,2,3,6,2018-04-06T00:00:00,7,8,1800
203,3,2,21,1,6,10,2,2,7,2017-12-22T00:00:00,8,8,1400
485,3,2,10,1,6,10,2,2,2,2018-04-01T00:00:00,4,1,1400
298,3,2,10,1,6,10,2,2,7,2018-03-27T00:00:00,4,3,1400
489,3,2,21,1,5,10,2,1,7,2018-04-05T00:00:00,4,8,1400
219,3,2,22,1,6,10,3,2,7,2018-01-07T00:00:00,9,7,1400
195,2,1,10,1,7,10,3,0,0,2017-12-14T00:00:00,5,4,1400
45,3,2,22,1,6,10,3,2,7,2018-01-15T00:00:00,10,5,1800
101,3,2,21,1,6,10,2,2,7,2018-03-12T00:00:00,5,4,1800
166,3,1,21,1,2,20,1,0,0,2018-05-16T00:00:00,5,7,1800
542,3,1,21,1,2,20,1,0,0,2018-05-28T00:00:00,5,4,1400
372,3,2,21,1,6,10,2,0,0,2017-12-09T00:00:00,7,8,1400
503,3,2,22,1,2,20,2,2,7,2018-04-19T00:00:00,4,6,1400
522,3,2,22,1,2,20,2,0,0,2018-05-08T00:00:00,5,5,1400
171,3,1,21,1,2,20,1,0,0,2018-05-21T00:00:00,6,6,1800
501,3,2,22,1,2,20,2,2,7,2018-04-17T00:00:00,2,1,1400
200,2,2,10,1,7,10,2,0,0,2017-12-19T00:00:00,5,7,1400
254,3,3,22,1,6,10,2,1,7,2018-02-11T00:00:00,7,4,1400
106,3,2,21,1,6,10,2,2,7,2018-03-17T00:00:00,4,7,1800
5,3,2,10,1,5,10,2,2,4,2017-12-06T00:00:00,4,6,1800
481,3,2,10,2,7,10,3,1,6,2018-03-28T00:00:00,6,3,1400
524,3,2,22,1,2,20,2,1,4,2018-05-10T00:00:00,6,4,1400
110,3,2,22,1,6,10,2,2,7,2018-03-21T00:00:00,7,7,1800
466,3,2,21,1,6,10,2,0,0,2018-03-13T00:00:00,4,2,1400
89,3,2,21,1,6,10,2,2,7,2018-02-28T00:00:00,6,3,1800
343,3,2,22,1,2,20,2,1,4,2018-05-11T00:00:00,2,0,1400
371,3,2,10,1,6,10,3,0,0,2017-12-08T00:00:00,8,7,1400
256,3,2,10,1,6,10,2,1,7,2018-02-13T00:00:00,4,6,1400
393,3,1,21,1,6,10,2,0,0,2017-12-30T00:00:00,4,4,1400
38,3,2,21,1,6,10,3,0,0,2018-01-08T00:00:00,6,6,1800
260,3,2,21,1,6,10,3,3,7,2018-02-17T00:00:00,4,6,1400
539,3,1,21,1,2,20,1,0,0,2018-05-25T00:00:00,2,0,1400
440,3,2,22,1,5,10,3,3,7,2018-02-15T00:00:00,8,4,1400
347,3,1,22,1,2,20,1,0,0,2018-05-15T00:00:00,4,5,1400
525,3,2,22,1,2,20,2,0,0,2018-05-11T00:00:00,2,0,1400
470,3,2,21,1,6,10,2,2,7,2018-03-17T00:00:00,4,2,1400
111,3,1,21,1,6,10,2,2,7,2018-03-22T00:00:00,5,8,1800
441,3,2,21,1,6,10,3,3,7,2018-02-16T00:00:00,4,4,1400
220,3,2,21,1,6,10,3,1,7,2018-01-08T00:00:00,5,6,1400
516,3,2,21,1,6,10,2,2,2,2018-05-02T00:00:00,4,5,1400
6,3,2,10,1,5,10,2,2,4,2017-12-07T00:00:00,7,5,1800
465,5,2,21,1,6,10,2,0,0,2018-03-12T00:00:00,6,3,1400
303,2,2,10,1,7,10,3,1,2,2018-04-01T00:00:00,4,1,1400
473,3,1,21,1,6,10,2,2,7,2018-03-20T00:00:00,5,8,1400
379,2,2,10,1,7,10,2,0,0,2017-12-16T00:00:00,5,1,1400
202,2,2,10,2,7,10,2,2,6,2017-12-21T00:00:00,7,7,1400
28,3,2,10,1,6,10,2,1,7,2017-12-29T00:00:00,5,6,1800
390,3,2,21,1,6,10,2,0,0,2017-12-27T00:00:00,8,6,1400
284,3,2,21,1,7,10,2,2,7,2018-03-13T00:00:00,4,2,1400
143,3,2,10,3,7,10,3,2,2,2018-04-23T00:00:00,6,5,1800
540,3,1,21,1,2,20,1,0,0,2018-05-26T00:00:00,2,0,1400
270,3,2,10,1,6,10,3,2,7,2018-02-27T00:00:00,7,3,1400
