index,AvalancheProblems_0_AvalProbabilityId,AvalancheProblems_0_Class_AvalDistributionId,AvalancheProblems_0_AvalTriggerSimpleId,AvalancheProblems_0_AvalancheProblemId,AvalancheProblems_0_Class_AvalancheProblemTypeId,AvalancheProblems_0_AvalancheTypeId,AvalancheProblems_0_DestructiveSizeExtId,AvalancheProblems_1_Class_AvalDistributionId,AvalancheProblems_1_Class_AvalancheProblemTypeId,ValidFrom,Wind_Speed_Num,Wind_Direction_Num,Temperature_masl
224,3,1,10,1,6,10,2,2,7,2018-01-12T00:00:00,2,6,1400
258,3,2,22,1,5,10,3,3,7,2018-02-15T00:00:00,7,4,1400
213,3,2,21,1,5,10,2,0,0,2018-01-01T00:00:00,4,4,1400
90,3,1,21,1,7,10,2,3,7,2018-03-01T00:00:00,5,4,1800
133,3,2,21,1,7,10,3,3,2,2018-04-13T00:00:00,6,4,1800
39,3,2,21,1,6,10,2,0,0,2018-01-09T00:00:00,4,4,1800
227,3,2,10,2,7,10,3,2,6,2018-01-15T00:00:00,7,4,1400
163,3,2,21,1,2,20,2,1,4,2018-05-13T00:00:00,5,5,1800
434,3,2,21,1,5,10,2,1,7,2018-02-09T00:00:00,6,4,1400
79,3,2,10,1,6,10,3,3,7,2018-02-18T00:00:00,4,7,1800
418,3,1,21,3,7,10,2,3,7,2018-01-24T00:00:00,6,7,1400
138,3,2,21,1,7,10,3,3,2,2018-04-18T00:00:00,6,7,1800
408,3,2,10,2,7,10,3,2,6,2018-01-14T00:00:00,6,4,1400
99,3,2,21,1,7,10,2,2,7,2018-03-10T00:00:00,4,7,1800
287,3,2,21,1,7,10,2,2,7,2018-03-16T00:00:00,4,3,1400
404,3,2,21,1,6,10,2,1,7,2018-01-10T00:00:00,6,3,1400
366,3,2,10,1,6,10,1,0,0,2017-12-03T00:00:00,6,8,1400
310,3,2,21,1,6,10,2,2,4,2018-04-08T00:00:00,4,4,1400
537,3,1,21,1,2,20,1,0,0,2018-05-23T00:00:00,4,6,1400
135,3,2,21,1,7,10,3,3,2,2018-04-15T00:00:00,2,7,1800
24,3,2,21,1,6,10,3,2,7,2017-12-25T00:00:00,5,6,1800
241,3,3,21,1,6,10,2,1,7,2018-01-29T00:00:00,4,4,1400
437,3,1,10,2,7,10,3,3,6,2018-02-12T00:00:00,5,2,1400
261,3,2,10,1,6,10,3,3,7,2018-02-18T00:00:00,4,7,1400
451,3,2,21,1,5,10,2,2,7,2018-02-26T00:00:00,4,2,1400
61,3,2,21,2,6,10,2,1,7,2018-01-31T00:00:00,6,4,1800
145,3,1,21,1,5,10,2,2,7,2018-04-25T00:00:00,5,7,1800
504,3,2,22,1,2,20,2,2,7,2018-04-20T00:00:00,4,6,1400
374,3,2,21,1,6,10,2,0,0,2017-12-11T00:00:00,4,3,1400
252,3,2,21,1,6,10,2,1,7,2018-02-09T00:00:00,6,4,1400
59,3,2,21,2,6,10,2,2,7,2018-01-29T00:00:00,4,7,1800
281,3,2,21,1,6,10,2,2,7,2018-03-10T00:00:00,2,0,1400
109,3,2,22,1,5,10,2,2,7,2018-03-20T00:00:00,6,7,1800
